,apply,pared,public,gpa
1,very likely,0,0,3.25999999
2,somewhat likely,1,0,3.210000038
3,unlikely,1,1,3.940000057
4,somewhat likely,0,0,2.809999943
5,somewhat likely,0,0,2.529999971
6,unlikely,0,1,2.589999914
7,somewhat likely,0,0,2.559999943
8,somewhat likely,0,0,2.730000019
9,unlikely,0,0,3
10,somewhat likely,1,0,3.5
11,unlikely,1,1,3.650000095
12,somewhat likely,0,0,2.839999914
13,very likely,0,1,3.900000095
14,somewhat likely,0,0,2.680000067
15,unlikely,1,0,3.569999933
16,unlikely,0,0,3.089999914
17,unlikely,0,1,3.5
18,unlikely,0,0,2.170000076
19,very likely,0,1,3.359999895
20,somewhat likely,0,0,3.400000095
21,very likely,0,0,2.75
22,somewhat likely,1,0,3.200000048
23,unlikely,0,0,2.440000057
24,unlikely,0,0,2.829999924
25,unlikely,0,1,3
26,somewhat likely,0,1,3.269999981
27,somewhat likely,1,0,3.140000105
28,somewhat likely,0,0,3.369999886
29,very likely,0,1,2.789999962
30,unlikely,0,0,2.900000095
31,somewhat likely,0,0,3.380000114
32,unlikely,0,1,2.950000048
33,unlikely,0,0,2.980000019
34,unlikely,1,1,3.809999943
35,unlikely,0,0,2.74000001
36,unlikely,0,0,2.619999886
37,unlikely,0,0,2.849999905
38,somewhat likely,0,0,2.5
39,somewhat likely,0,0,2.75
40,unlikely,0,0,2.25999999
41,unlikely,0,0,2.029999971
42,somewhat likely,1,0,2.849999905
43,unlikely,0,0,2.720000029
44,somewhat likely,0,0,2.890000105
45,somewhat likely,1,0,2.470000029
46,unlikely,0,0,3.039999962
47,unlikely,0,0,3.099999905
48,unlikely,0,0,2.569999933
49,unlikely,0,0,2.089999914
50,somewhat likely,0,0,2.940000057
51,unlikely,0,0,3.450000048
52,unlikely,0,0,2.75999999
53,very likely,0,1,2.960000038
54,unlikely,0,0,2.890000105
55,somewhat likely,0,0,2.970000029
56,somewhat likely,0,1,3.910000086
57,somewhat likely,0,0,2.769999981
58,unlikely,0,0,2.50999999
59,unlikely,0,0,3.24000001
60,unlikely,0,0,2.440000057
61,somewhat likely,0,0,2.779999971
62,unlikely,0,0,2.940000057
63,unlikely,1,0,3.220000029
64,unlikely,0,0,3.5
65,very likely,1,0,3.569999933
66,somewhat likely,0,0,3.170000076
67,unlikely,0,1,3.230000019
68,unlikely,0,0,2.910000086
69,unlikely,0,0,3.279999971
70,unlikely,0,1,3.319999933
71,unlikely,0,0,3.619999886
72,unlikely,0,0,2.549999952
73,unlikely,0,0,2.970000029
74,very likely,1,0,3.630000114
75,unlikely,0,1,3.019999981
76,unlikely,0,1,3.599999905
77,unlikely,0,0,2.950000048
78,very likely,1,1,3.809999943
79,somewhat likely,1,0,2.680000067
80,unlikely,1,0,3.720000029
81,unlikely,0,0,2.49000001
82,unlikely,0,0,2.720000029
83,unlikely,1,0,2.25
84,unlikely,0,0,2.529999971
85,unlikely,0,0,3.25999999
86,very likely,0,0,2.569999933
87,unlikely,0,0,2.900000095
88,unlikely,0,0,3.049999952
89,somewhat likely,0,0,2.849999905
90,somewhat likely,0,0,4
91,very likely,1,0,3.400000095
92,somewhat likely,0,1,3.24000001
93,unlikely,0,1,3.50999999
94,very likely,0,0,2.549999952
95,unlikely,0,0,3.059999943
96,very likely,0,0,3
97,somewhat likely,0,0,3.130000114
98,unlikely,0,0,3.160000086
99,somewhat likely,0,0,2.470000029
100,somewhat likely,0,0,2.890000105
101,unlikely,0,0,2.74000001
102,unlikely,0,0,3.160000086
103,unlikely,0,0,2.920000076
104,somewhat likely,0,0,3.569999933
105,somewhat likely,1,0,3.49000001
106,somewhat likely,0,1,2.559999943
107,somewhat likely,1,0,3.119999886
108,somewhat likely,1,0,2.650000095
109,somewhat likely,0,0,2.50999999
110,somewhat likely,0,0,3.079999924
