,pigs,milk
1,33873,57830
2,96428,60980
3,105084,62840
4,95741,66560
5,110647,71380
6,100331,70720
7,94133,62840
8,103055,58810
9,90595,57630
10,101457,56650
11,76889,56110
12,81291,57140
13,91643,58910
14,96228,61530
15,102736,64120
16,100264,68280
17,103491,72850
18,97027,72640
19,95240,64800
20,91680,60580
21,101259,59150
22,109564,57630
23,76892,57320
24,85773,58710
25,95210,61660
26,93771,64860
27,98202,67550
28,97906,71530
29,100306,75600
30,94089,74670
31,102680,66570
32,77919,62740
33,93561,61280
34,117062,59990
35,81225,60270
36,88357,62250
37,106175,64610
38,91922,67610
39,104114,69610
40,109959,73250
41,97880,76780
42,105386,76700
43,96479,68930
44,97580,64120
45,109490,62400
46,110191,60970
47,90974,61080
48,98981,62350
49,107188,66470
50,94177,69030
51,115097,72260
52,113696,76600
53,114532,79630
54,120110,80960
55,93607,72170
56,110925,68440
57,103312,67060
58,120184,65490
59,103069,65440
60,103351,67550
61,111331,70010
62,106161,72510
63,111590,74820
64,99447,79540
65,101987,82180
66,85333,82890
67,86970,75310
68,100561,70890
69,89543,69090
70,89265,67450
71,82719,66960
72,79498,68530
73,74846,70400
74,73819,73050
75,77029,76090
76,78446,80760
77,86978,84240
78,75878,83800
79,69571,76880
80,75722,72660
81,64182,71120
82,77357,69320
83,63292,68690
84,59380,69810
85,78332,72070
86,72381,75010
87,55971,77080
88,69750,81670
89,85472,85520
90,70133,85730
91,79125,78650
92,85805,75010
93,81778,73560
94,86852,70990
95,69069,70010
96,79556,72070
97,88174,73640
98,66698,76850
99,72258,79240
100,73445,83600
101,76131,86990
102,86082,87150
103,75443,80410
104,73969,76880
105,78139,75080
106,78646,73340
107,66269,72140
108,73776,73740
109,80034,78940
110,70694,82180
111,81823,84440
112,75640,89080
113,75540,92490
114,82229,92630
115,75345,85320
116,77034,81890
117,78589,80150
118,79769,78550
119,75982,77410
120,78074,78550
